StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID21,Q1,Q2,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_9,Q2.1_10,Q3,Q4,Q5,Q5.1
2018-08-04 13:42:20,2018-08-04 13:42:22,IP Address,8.33.33.143,13,2,False,2018-08-05 13:42:29,R_2fx0hMg9exzWDZ0,,,,,,,social,EN,Yes,,,,,,,,,,,,,,,,
2018-08-04 15:20:02,2018-08-04 15:25:18,IP Address,107.77.231.72,50,315,False,2018-08-05 15:25:52,R_31vpg00bsvB0o87,,,,,,,anonymous,EN,Yes,"Starbucks,Home/Other Household",Yes,Extremely important,Slightly important,Extremely important,Moderately important,Moderately important,Slightly important,Very important,Slightly important,Extremely important,Very important,,,,
2018-08-05 17:10:48,2018-08-05 17:12:28,IP Address,69.167.1.169,100,99,True,2018-08-05 17:12:29,R_2rYgn96ksluAFBX,,,,,34.072906494141,-118.2606048584,social,EN,Yes,"Starbucks,Local/Neighborhood Cafe,Home/Other Household",Yes,Very important,Extremely important,Slightly important,Moderately important,Not at all important,Extremely important,Slightly important,Moderately important,Very important,Not at all important,6,2,No,
2018-08-04 18:31:07,2018-08-04 18:31:31,IP Address,69.167.3.163,38,23,False,2018-08-05 18:31:54,R_2TtLzAsD86Xunfk,,,,,,,social,EN,Yes,"Starbucks,Local/Neighborhood Cafe,Home/Other Household",Yes,,,,,,,,,,,,,,
2018-08-05 20:14:58,2018-08-05 20:16:58,IP Address,99.101.10.236,100,120,True,2018-08-05 20:16:59,R_2Cr1wKq84qb4COG,,,,,32.859405517578,-117.20729827881,social,EN,Yes,"Starbucks,Local/Neighborhood Cafe,Work",Yes,Extremely important,Very important,Extremely important,Moderately important,Very important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,3,2,Yes,Yes
2018-08-05 20:51:46,2018-08-05 20:52:57,IP Address,174.208.2.108,100,71,True,2018-08-05 20:52:57,R_245yV33WKMx0LcA,,,,,40.324493408203,-111.96179962158,anonymous,EN,Yes,,Yes,Extremely important,Moderately important,Very important,Extremely important,Moderately important,Very important,Extremely important,Moderately important,Very important,Moderately important,,,,
2018-08-06 09:27:46,2018-08-06 09:28:59,IP Address,172.58.21.9,100,73,True,2018-08-06 09:28:59,R_6gmGRwv3XK6LAGZ,,,,,33.951705932617,-118.29560089111,social,EN,Yes,"Starbucks,Home/Other Household",Yes,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,4,5,Yes,Yes
2018-08-06 09:32:01,2018-08-06 09:34:12,IP Address,172.58.37.116,100,131,True,2018-08-06 09:34:12,R_4Jc1rUojnPFa5hf,,,,,37.809097290039,-122.27020263672,anonymous,EN,Yes,,Yes,Extremely important,Slightly important,Moderately important,Extremely important,Slightly important,Very important,Extremely important,Very important,Moderately important,Very important,,,,
2018-08-06 11:34:10,2018-08-06 11:36:07,IP Address,24.173.3.108,100,117,True,2018-08-06 11:36:08,R_3J2kx4H7y7hc3GC,,,,,30.365997314453,-97.643699645996,social,EN,Yes,"Local/Neighborhood Cafe,Home/Other Household,Work",Yes,Very important,Not at all important,Not at all important,Moderately important,Very important,Not at all important,Very important,Very important,Moderately important,Moderately important,,,,
2018-08-06 11:36:03,2018-08-06 11:38:28,IP Address,66.182.64.222,100,144,True,2018-08-06 11:38:28,R_33rqHCgrUiL6USG,,,,,40.60969543457,-111.93910217285,anonymous,EN,Yes,Starbucks,Yes,Extremely important,Not at all important,Very important,Very important,Very important,Very important,Very important,Very important,Extremely important,Moderately important,4,1,Yes,Yes
2018-08-06 13:05:06,2018-08-06 13:06:54,IP Address,216.38.151.226,100,108,True,2018-08-06 13:06:55,R_31YsHcYxj2kw4HO,,,,,37.790893554688,-122.40170288086,social,EN,Yes,"Starbucks,7-Eleven,Home/Other Household,Work",Yes,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Slightly important,Extremely important,Extremely important,Extremely important,Moderately important,5,2,No,
2018-08-06 15:10:46,2018-08-06 15:11:17,IP Address,64.25.21.14,100,30,True,2018-08-06 15:11:17,R_Y4yhMPK0zxapQl3,,,,,40.669494628906,-73.872596740723,anonymous,EN,Yes,Other,No,,,,,,,,,,,,,,
2018-08-06 17:34:01,2018-08-06 17:36:33,IP Address,38.122.146.162,100,151,True,2018-08-06 17:36:34,R_1GUgZtFJkXKC9ah,,,,,32.859405517578,-117.20729827881,social,EN,Yes,"Local/Neighborhood Cafe,Home/Other Household,Work,Other",Yes,Extremely important,Very important,Moderately important,Extremely important,Very important,Moderately important,Extremely important,Very important,Extremely important,Moderately important,,,,
2018-08-06 19:50:39,2018-08-06 19:51:59,IP Address,67.2.86.132,100,79,True,2018-08-06 19:51:59,R_3prQLjKxG7qlVBQ,,,,,40.759796142578,-111.86260223389,anonymous,EN,Yes,"McDonalds,Local/Neighborhood Cafe,Home/Other Household,Other",Yes,Moderately important,Not at all important,Not at all important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,,,,
2018-08-06 20:33:32,2018-08-06 20:34:50,IP Address,73.199.71.56,100,77,True,2018-08-06 20:34:50,R_1hL7V20JTHmeLSQ,,,,,40.698699951172,-74.329597473145,anonymous,EN,Yes,"Dunkin' Donuts,Local/Neighborhood Cafe,7-Eleven",Yes,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Moderately important,Extremely important,Extremely important,Extremely important,Moderately important,,,,
2018-08-06 22:00:38,2018-08-06 22:00:59,IP Address,107.77.222.76,100,21,True,2018-08-06 22:01:00,R_1IMYUxM23Kv2XdI,,,,,29.770202636719,-95.362800598145,social,EN,Yes,Home/Other Household,No,,,,,,,,,,,,,,
2018-08-07 00:14:04,2018-08-07 00:15:48,IP Address,50.113.81.17,100,104,True,2018-08-07 00:15:48,R_1cRCQAnG41Poqei,,,,,33.095794677734,-117.27209472656,social,EN,Yes,"Starbucks,McDonalds,Local/Neighborhood Cafe,Home/Other Household,Work",Yes,Very important,Extremely important,Extremely important,Very important,Not at all important,Slightly important,Very important,Very important,Very important,Not at all important,3,0,Yes,No
2018-08-07 05:00:35,2018-08-07 05:01:50,IP Address,97.101.46.98,100,74,True,2018-08-07 05:01:50,R_25L1fCquNyHtqKd,,,,,29.483901977539,-81.191596984863,social,EN,Yes,"Starbucks,Home/Other Household",Yes,Very important,Moderately important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,4.5,3,Yes,Yes
2018-08-07 08:57:23,2018-08-07 08:58:13,IP Address,174.213.3.201,100,49,True,2018-08-07 08:58:13,R_0eMG1CW1pNVCBwd,,,,,33.922393798828,-117.24760437012,social,EN,Yes,"Home/Other Household,Work",Yes,Very important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,,,,
2018-08-06 10:52:11,2018-08-06 10:52:33,IP Address,50.113.9.51,38,22,False,2018-08-07 10:52:34,R_4Vp3YFanyD0rO9z,,,,,,,anonymous,EN,Yes,"Starbucks,Local/Neighborhood Cafe,Home/Other Household",Yes,,,,,,,,,,,,,,
2018-08-06 11:08:46,2018-08-06 11:08:56,IP Address,162.193.83.122,13,10,False,2018-08-07 11:09:26,R_1reocpcz0udaszK,,,,,,,social,EN,Yes,,,,,,,,,,,,,,,,
2018-08-06 11:35:23,2018-08-06 11:35:50,IP Address,75.128.175.19,38,26,False,2018-08-07 11:36:38,R_1gcZLurBgy3Oiv0,,,,,,,social,EN,Yes,"Local/Neighborhood Cafe,Work",Yes,,,,,,,,,,,,,,
2018-08-07 12:13:23,2018-08-07 12:15:18,IP Address,12.222.114.99,100,115,True,2018-08-07 12:15:19,R_Z3IB9XBvQxLEjVT,,,,,32.736801147461,-117.12770080566,social,EN,Yes,"Starbucks,Local/Neighborhood Cafe",No,,,,,,,,,,,4,0,No,
2018-08-07 18:30:01,2018-08-07 18:30:21,IP Address,71.235.125.26,100,19,True,2018-08-07 18:30:21,R_2bUjyNykPO77iOr,,,,,41.836502075195,-72.463203430176,anonymous,EN,Yes,,No,,,,,,,,,,,,,,
2018-08-07 19:09:40,2018-08-07 19:11:00,IP Address,72.221.25.40,100,79,True,2018-08-07 19:11:00,R_W1XLFvu3x5o5leN,,,,,33.65739440918,-112.24629974365,anonymous,EN,Yes,,No,,,,,,,,,,,,,,
2018-08-07 19:09:42,2018-08-07 19:11:18,IP Address,23.119.251.148,100,96,True,2018-08-07 19:11:18,R_27QDYcZxtNH49cI,,,,,38.340194702148,-98.811798095703,anonymous,EN,Yes,Home/Other Household,Yes,Extremely important,Very important,Moderately important,Very important,Very important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,,,,
2018-08-07 19:09:56,2018-08-07 19:11:31,IP Address,172.58.70.227,100,95,True,2018-08-07 19:11:32,R_oZzDmkcf9xjCxSF,,,,,29.424102783203,-98.493598937988,anonymous,EN,Yes,"Starbucks,McDonalds,Home/Other Household",Yes,Extremely important,Very important,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Moderately important,15,3,No,
2018-08-07 19:11:55,2018-08-07 19:12:23,IP Address,107.77.173.3,100,28,True,2018-08-07 19:12:24,R_54SxQP2PXhoxyy5,,,,,41.848297119141,-87.651702880859,anonymous,EN,Yes,,No,,,,,,,,,,,,,,
2018-08-07 19:12:26,2018-08-07 19:13:30,IP Address,68.103.223.99,100,64,True,2018-08-07 19:13:31,R_OOTeZODaYzLKo3D,,,,,39.102294921875,-96.524597167969,anonymous,EN,Yes,,Yes,Extremely important,Moderately important,Moderately important,Extremely important,Extremely important,Moderately important,Extremely important,Extremely important,Extremely important,Moderately important,,,,
2018-08-07 19:12:11,2018-08-07 19:13:37,IP Address,174.70.181.57,100,85,True,2018-08-07 19:13:37,R_24AfnoSApNgWCnE,,,,,37.703506469727,-97.37979888916,anonymous,EN,Yes,"McDonalds,Home/Other Household,Work,Other",Yes,Very important,Not at all important,Very important,Very important,Slightly important,Slightly important,Extremely important,Moderately important,Very important,Slightly important,,,,
2018-08-07 19:12:22,2018-08-07 19:14:24,IP Address,104.178.113.205,100,121,True,2018-08-07 19:14:24,R_2rIAPay2ff7vmOo,,,,,37.826599121094,-94.792503356934,anonymous,EN,Yes,Starbucks,No,,,,,,,,,,,2.5,7,Yes,Yes
2018-08-07 19:15:09,2018-08-07 19:15:48,IP Address,98.172.123.113,100,39,True,2018-08-07 19:15:48,R_1jBrnc4a1uKd6gt,,,,,37.668106079102,-97.370002746582,anonymous,EN,Yes,"Work,Other",No,,,,,,,,,,,,,,
2018-08-07 19:14:52,2018-08-07 19:16:38,IP Address,72.205.227.102,100,106,True,2018-08-07 19:16:39,R_1i83tmb8DTsG81d,,,,,37.703506469727,-97.37979888916,anonymous,EN,Yes,,Yes,Extremely important,Not at all important,Not at all important,Slightly important,Very important,Not at all important,Very important,Moderately important,Very important,Very important,,,,
2018-08-07 19:16:03,2018-08-07 19:19:22,IP Address,98.186.172.231,100,199,True,2018-08-07 19:19:22,R_10vMOq288vtaQn3,,,,,37.703506469727,-97.37979888916,anonymous,EN,Yes,"Starbucks,McDonalds,Other",Yes,Extremely important,Not at all important,Not at all important,Extremely important,Extremely important,Not at all important,Extremely important,Extremely important,Extremely important,Not at all important,4,0,No,
2018-08-07 19:18:01,2018-08-07 19:19:45,IP Address,8.36.250.53,100,104,True,2018-08-07 19:19:45,R_2PByTinhZMEp66i,,,,,39.82780456543,-99.95580291748,anonymous,EN,Yes,"McDonalds,Local/Neighborhood Cafe",Yes,Extremely important,Not at all important,Not at all important,Extremely important,Very important,Not at all important,Very important,Extremely important,Extremely important,Extremely important,,,,
2018-08-07 19:17:42,2018-08-07 19:20:03,IP Address,68.188.228.88,100,140,True,2018-08-07 19:20:03,R_245D67nBtXQB8Y6,,,,,45.065704345703,-83.455101013184,anonymous,EN,Yes,Home/Other Household,Yes,Extremely important,Not at all important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Very important,Moderately important,,,,
